Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,915MHz,TestPoint_THTPad_D2.0mm_Drill1.0mm,217.4,-109.6,0.0,top
ANT2,U.FL,U.FL_Hirose_U.FL-R-SMT-1_Vertical,213.5,-109.6,0.0,top
BAT1,1.25mm Push-Pull 1x2,1.25-2PWB DEALON,208.5,-90.45,-90.0,bottom
BAT2,1.25mm Push-Pull 1x2,1.25-2PWB DEALON,208.4375,-99.1,-90.0,bottom
BZ1,MLT-8530,MagneticBuzzer_8530_SMD,199.7,-90.4,0.0,top
C3,100n,C_0402_1005Metric,184.3,-91.9,0.0,top
C4,100n,C_0402_1005Metric,210.7,-98.4,90.0,top
C5,100n,C_0402_1005Metric,183.0,-93.4,-90.0,top
C6,100n,C_0402_1005Metric,208.7,-98.4,90.0,top
C7,1u,C_0402_1005Metric,185.9,-93.4,-90.0,top
C8,100n,C_0402_1005Metric,192.1,-104.5,-90.0,top
C9,100n,C_0402_1005Metric,191.8,-106.5,-90.0,top
C10,1u,C_0402_1005Metric,191.1,-104.5,-90.0,top
C11,1u,C_0402_1005Metric,190.8,-106.5,-90.0,top
C12,4.7u,C_0402_1005Metric,188.7,-93.4,90.0,top
C13,470n,C_0402_1005Metric,189.35,-108.7,-90.0,top
C14,4.7u,C_0402_1005Metric,190.1,-104.5,-90.0,top
C16,100n,C_0402_1005Metric,190.35,-108.7,-90.0,top
C17,47u,CP_EIA-3216-18_Kemet-A,187.3,-95.5,180.0,top
C18,100n,C_0402_1005Metric,189.85,-110.2,180.0,top
C19,4.7u,C_0402_1005Metric,189.85,-111.2,180.0,top
C20,100n,C_0402_1005Metric,201.85,-100.25,0.0,top
C21,100n,C_0402_1005Metric,181.3,-96.0,0.0,top
C22,1u,C_0402_1005Metric,201.85,-99.25,0.0,top
C23,1u,C_0402_1005Metric,199.85,-99.25,180.0,top
C24,4.7u,C_0402_1005Metric,199.87,-100.25,180.0,top
C26,100n,C_0402_1005Metric,211.0,-93.55,90.0,top
C27,100n,C_0402_1005Metric,186.12,-95.6,180.0,bottom
C28,100n,C_0402_1005Metric,186.1,-100.0,180.0,bottom
C29,10u,C_0402_1005Metric,186.12,-99.0,180.0,bottom
C30,100n,C_0402_1005Metric,206.1,-92.05,0.0,top
C31,100n,C_0402_1005Metric,208.0,-92.05,180.0,top
C32,47u,CP_EIA-3216-18_Kemet-A,185.6,-99.0,-90.0,top
C33,1u,C_0402_1005Metric,208.0,-91.05,180.0,top
D1,RED,LED_0603_1608Metric,181.6,-92.9,-90.0,top
D2,GREEN,LED_0603_1608Metric,188.8,-103.95,-90.0,top
D3,BAS516,D_SOD-523,193.3,-90.2,-90.0,top
L1,L,L_0402_1005Metric,208.1,-109.6,0.0,top
L2,15u,L_0805_2012Metric,191.85,-109.5,90.0,top
Q1,AO3401,SOT-23,188.45,-99.6,90.0,top
Q2,SI2302,SOT-23,191.7,-93.6,0.0,top
R2,100k,R_0402_1005Metric,209.7,-98.4,90.0,top
R3,1k,R_0402_1005Metric,189.8,-106.5,-90.0,top
R4,100k,R_0402_1005Metric,207.7,-98.4,-90.0,top
R5,1k,R_0402_1005Metric,183.9,-94.9,180.0,top
R6,1k,R_0402_1005Metric,188.8,-106.5,90.0,top
R8,1k,R_0402_1005Metric,189.85,-112.25,180.0,top
R9,1k,R_0402_1005Metric,189.85,-114.25,0.0,top
R11,10k,R_0402_1005Metric,211.7,-95.05,0.0,top
R12,0R,R_0402_1005Metric,199.85,-98.1,0.0,top
R13,0R,R_0402_1005Metric,199.85,-96.1,0.0,top
R14,0R,R_0402_1005Metric,199.85,-97.1,0.0,top
R15,10k,R_0402_1005Metric,210.0,-93.55,90.0,top
R16,1k,R_0402_1005Metric,190.7,-100.6,-90.0,top
R17,100k,R_0402_1005Metric,187.65,-97.1,0.0,top
R18,1k,R_0402_1005Metric,190.7,-95.9,180.0,top
R19,100k,R_0402_1005Metric,190.69,-91.3,180.0,top
SW1,SW_Push,5.2mm x 3.35mm Tactile Switch,209.5,-101.225,180.0,top
SW2,SW_Push,5.2mm x 3.35mm Tactile Switch,209.5,-105.0,180.0,top
U1,AP6683,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,184.4,-93.4,0.0,top
U2,RAK3172-SiP,RAK3172-SiP,199.3,-107.5,0.0,top
U3,TP733xx,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,187.4,-93.4,180.0,top
U4,UHE4913,SOT-23,182.3,-98.3,0.0,top
U5,QMC6308,QMC6308,212.2,-93.95,0.0,top
U6,L80RE-M37,XCVR_L80RE-M37,196.5,-100.0,0.0,bottom
U7,QMI8658,QMI8658,207.1,-94.25,180.0,top
